title,release_date,genres,overview,spoken_languages,max_pre_release,max_post_release,auc_pre_release,slope_7_days_pre_release,release_day_interest,stddev_interest_pre_release,trend_skew,peak_trend_day_position,auc_post_peak,auc_post_release,trends_slope_post_peak,trends_day_7_value
Indiana Jones and the Dial of Destiny,2023-06-28,"Adventure, Action","Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",English,32.0,100.0,190.5,3.2857142857142856,55.0,7.373729184487846,1.3081814565714989,3.0,708.0,925.5,-11.107142857142852,49.0
Til Death Do Us Part,2023-08-03,"Horror, Thriller, Action","After bailing on her wedding, a former bride-to-be must fight off her ex-groom and seven angry killer groomsmen in order to survive the night.",English,53.0,100.0,619.5,0.24999999999999958,48.0,8.335917966527214,1.0483356112947482,2.0,998.0,1152.0,-5.642857142857143,69.0
Spider-Man: Across the Spider-Verse,2023-05-31,"Animation, Action, Adventure","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.","English, Hindi, Italian, Spanish",15.0,100.0,139.0,1.1785714285714286,30.0,3.3732306187475882,0.9391403069969436,4.0,758.0,1046.0,-5.785714285714283,51.0
The Creator,2023-09-27,"Science Fiction, Action, Thriller","Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself.","English, Japanese, Thai, Vietnamese",36.0,100.0,354.5,2.5714285714285716,49.0,5.511891905775401,1.3513041634277783,3.0,835.0,1062.5,-9.75,49.0
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023-07-31,"Animation, Comedy, Action","After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.","English, Mandarin",38.0,100.0,359.5,4.357142857142857,40.0,8.770182425311495,1.0177786850286896,5.0,775.5,1177.5,-9.857142857142856,64.0
Expend4bles,2023-09-15,"Action, Adventure, Thriller","Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.",English,11.0,100.0,79.5,1.357142857142857,15.0,3.449013135663204,1.3934070057061552,8.0,551.5,891.0,-10.107142857142856,90.0
John Wick: Chapter 4,2023-03-22,"Action, Thriller, Crime","With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","Arabic, Cantonese, English, French, German, Japanese, Latin, Russian, Spanish",15.0,100.0,159.5,0.5,26.0,3.4901870860587993,1.3206618859899684,4.0,702.0,991.0,-9.785714285714285,47.0
The Flash,2023-06-13,"Action, Adventure, Science Fiction","When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?","English, Spanish, Russian",26.0,100.0,363.0,-0.42857142857142844,29.0,3.571111097000509,2.0046163270443365,4.0,636.0,906.5,-12.107142857142856,45.0
After Everything,2023-09-13,"Romance, Drama","Besieged by writer’s block and the crushing breakup with Tessa, Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself. Hoping to win back Tessa, he realizes he needs to change his ways before he can make the ultimate commitment.","English, Portuguese",39.0,100.0,406.5,2.4999999999999996,88.0,6.986868148935705,0.9541356703933607,1.0,1103.0,1197.0,-9.892857142857142,48.0
Oppenheimer,2023-07-19,"Drama, History",The story of J. Robert Oppenheimer’s role in the development of the atomic bomb during World War II.,"Dutch, English",29.0,100.0,230.5,1.857142857142857,40.0,7.873431888650299,1.3789356041751542,3.0,736.5,964.5,-10.678571428571427,49.0
Freestyle,2023-09-13,"Crime, Action, Thriller","Trying to check out a recording from his debut album, a street rapper and his friend run into trouble when a major drug deal turns into a total disaster for them.",Polish,89.0,100.0,1614.0,-0.9285714285714283,89.0,3.6589281356759136,0.8300343609076778,3.0,1545.5,1819.0,-1.9285714285714275,99.0
Strays,2023-08-17,"Comedy, Adventure","When Reggie is abandoned on the mean city streets by his lowlife owner, Doug, Reggie is certain that his beloved owner would never leave him on purpose. But once Reggie falls in with Bug, a fast-talking, foul-mouthed stray who loves his freedom and believes that owners are for suckers, Reggie finally realizes he was in a toxic relationship and begins to see Doug for the heartless sleazeball that he is.",English,33.0,100.0,323.0,2.9642857142857135,50.0,5.827839979002656,1.226316246615532,2.0,901.0,1050.0,-8.928571428571425,40.0
"Scooby-Doo! And Krypto, Too!",2023-09-26,"Animation, Family, Mystery, Fantasy, Comedy","When the Justice League goes missing and villains overrun Metropolis, there's only one team that can solve this mystery: Scooby-Doo and the gang! But wait, there's a new dog in town – Krypto – Superman's Superdog with Super Powers. Mystery Inc. will need all the help it can get when phantoms menace the Justice League's headquarters.",English,,,,,,,,,,,,
The Super Mario Bros. Movie,2023-04-05,"Animation, Family, Adventure, Fantasy, Comedy","While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",English,52.0,100.0,213.5,6.1428571428571415,86.0,10.755370962228472,0.9069392763132861,2.0,944.0,1124.0,-11.928571428571427,44.0
Mission: Impossible - Dead Reckoning Part One,2023-07-08,"Action, Thriller","Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.","French, English, Italian, Russian",36.0,100.0,229.5,3.3571428571428568,80.0,8.938438991791426,0.5855332190448272,4.0,943.5,1289.5,-6.1428571428571415,94.0
My Fault,2023-06-08,"Drama, Romance","Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",Spanish,5.0,100.0,60.0,0.0,15.0,0.6172133998483676,0.26413778304713537,7.0,1139.5,1558.0,-3.714285714285713,100.0
The Equalizer 3,2023-08-30,"Action, Thriller, Crime","Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.","English, Italian",22.0,100.0,183.5,2.285714285714285,34.0,4.7053787912516665,1.3800584148975585,3.0,708.5,888.5,-10.464285714285712,39.0
The Little Mermaid,2023-05-18,"Adventure, Family, Fantasy, Romance","The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",English,16.0,100.0,204.0,0.17857142857142855,13.0,2.8099273317965583,1.2842621119155944,9.0,700.5,1012.0,-8.785714285714283,46.0
Adipurush,2023-06-16,"Action, Adventure, Drama, Fantasy","7000 years ago, Ayodhya's Prince Raghava and Prince Sesh along with the Mighty Vanar Warriors travels to the island of Lanka with an aim to rescue Raghava's wife Janaki, who has been abducted by Lankesh, the king of Lanka.",Hindi,18.0,92.0,100.5,1.4999999999999998,100.0,3.7658207466223894,2.6591829633641773,0.0,475.5,475.5,-14.214285714285712,19.0
Bunker,2023-09-14,"Horror, Thriller, War","Trapped in a bunker during World War I, a group of soldiers are faced with an ungodly presence that slowly turns them against each other.",English,45.0,100.0,798.5,-0.42857142857142855,37.0,2.335761613034423,5.644710987323446,10.0,458.0,899.5,-6.928571428571427,40.0
Heart of Stone,2023-08-09,"Thriller, Action",An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable — and dangerous — weapon.,English,5.0,100.0,34.0,0.42857142857142855,6.0,1.0190921218587,2.214993928377266,3.0,510.5,646.5,-12.82142857142857,30.0
Deep Sea Python,2023-02-02,"Thriller, Horror",,Mandarin,,,,,,,,,,,,
Darkland: The Return,2023-04-13,"Action, Thriller","Seven years ago, Zaid went to war against the Copenhagen underworld to avenge his dead brother. His identity as a respected doctor of cardiology and life as a family man is but a fading dream, and in prison Zaid suffers the loss of his son Noah, whom he barely knows. When a police agent approaches Zaid and offers him a deal to be released in exchange for infiltrating the Copenhagen underworld, he sees his chance to reclaim the remnants of the family life he left behind. But everything has a price, and Zaid realizes that he has now seriously endangered his son's life. After all, once you become part of the underworld, is there any way out?","Danish, Arabic",,,,,,,,,,,,
Viking: Bloodlust,2023-04-21,"Action, History",A band of vikings are on the run from a blood thirsty group of Berserkers who want to fight to the death.,English,,,,,,,,,,,,
"Ruby Gillman, Teenage Kraken",2023-06-28,"Animation, Family, Fantasy, Comedy","Ruby Gillman, a sweet and awkward high school student, discovers she's a direct descendant of the warrior kraken queens. The kraken are sworn to protect the oceans of the world against the vain, power-hungry mermaids. Destined to inherit the throne from her commanding grandmother, Ruby must use her newfound powers to protect those she loves most.",English,12.0,100.0,100.5,0.9642857142857143,19.0,3.255555168597564,0.5818181123537225,10.0,550.0,1249.5,-10.642857142857142,63.0
Guardians of the Galaxy Vol. 3,2023-05-03,"Science Fiction, Adventure, Action","Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",English,19.0,100.0,153.0,1.678571428571428,35.0,5.43024201529464,1.5583851507214583,3.0,676.5,877.0,-11.035714285714283,39.0
Sniper: G.R.I.T. - Global Response & Intelligence Team,2023-09-26,"Action, Thriller","When an international terrorist cult threatens global political stability and kidnaps a fellow agent, Ace Sniper Brandon Beckett and the newly-formed Global Response & Intelligence Team – or G.R.I.T. – led by Colonel Stone must travel across the world to Malta, infiltrate the cult, and take out its leader to free Lady Death and stop the global threat.",English,,,,,,,,,,,,
Sakra,2023-01-16,"Action, Drama","Qiao Feng is the respected leader of a roving band of martial artists. After he is wrongfully accused of murder and subsequently exiled, Qiao Feng goes on the run in search of answers about his own mysterious origin story—and the unknown enemies working to destroy him from the shadows.","Cantonese, Mandarin",36.0,100.0,313.5,3.678571428571428,28.0,6.852180744287248,0.8498450719476041,6.0,807.0,1134.0,-7.2142857142857135,92.0
A Million Miles Away,2023-09-08,"Drama, History","The life of engineer and former NASA astronaut José M. Hernández, the first migrant farmworker to go to space.",English,7.0,100.0,48.0,0.3571428571428571,4.0,1.7353206817417712,1.6405924483567023,8.0,590.0,729.0,-12.07142857142857,61.0
The Flood,2023-07-14,"Action, Mystery, Thriller, Horror",A horde of giant hungry alligators is unleashed on a group of in-transit prisoners and their guards after a massive hurricane floods Louisiana.,English,67.0,100.0,888.5,4.857142857142858,60.0,8.448590699475046,1.0498169083092979,4.0,1075.5,1375.5,-3.4285714285714275,90.0
The Last Voyage of the Demeter,2023-08-09,"Thriller, Horror",The crew of the merchant ship Demeter attempts to survive the ocean voyage from Carpathia to London as they are stalked each night by a merciless presence onboard the ship.,"English, Russian",24.0,100.0,203.5,2.2142857142857144,28.0,5.048068263928184,1.0933703099132306,3.0,833.5,1060.5,-10.214285714285714,43.0
Amigos,2023-02-10,"Action, Thriller","Siddharth, a youngman who runs a family business is astonished to find his doppelgängers Manjunath and Michael on getdopple.com. After meeting up in Goa, they come down to Hyderabad to help Siddarth win over Ishika, a girl looking for superman to be her husband. But things take a drastic turn when NIA swings into action to nab Michael, aka Bipin Roy.",Telugu,59.0,100.0,1045.5,-0.7142857142857142,87.0,3.4411146219313653,2.412861890291736,4.0,922.5,1242.0,-4.892857142857141,52.0
Insidious: The Red Door,2023-07-05,"Horror, Mystery, Thriller","To put their demons to rest once and for all, Josh Lambert and a college-aged Dalton Lambert must go deeper into The Further than ever before, facing their family's dark past and a host of new and more horrifying terrors that lurk behind the red door.",English,12.0,100.0,68.0,1.4285714285714282,27.0,2.854760911870831,1.6283819992644282,3.0,620.5,838.0,-10.964285714285715,41.0
Epic Tails,2023-01-25,"Animation, Adventure, Fantasy, Family","An adventurous mouse sets off to battle dangerous creatures in Ancient Greece, including Poseidon.","Danish, Finnish, French, Norwegian, Swedish",19.0,100.0,19.0,-1.357142857142857,0.0,4.046218244999619,1.8133613329122265,17.0,346.5,621.5,-4.900000000000002,0.0
No Hard Feelings,2023-06-15,"Comedy, Romance","On the brink of losing her childhood home, Maddie discovers an intriguing job listing: wealthy helicopter parents looking for someone to “date” their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing.",English,13.0,100.0,157.0,0.7142857142857142,14.0,2.2657861434991085,1.1271807955991087,9.0,709.0,1049.0,-10.035714285714285,58.0
My Big Fat Greek Wedding 3,2023-09-07,"Romance, Comedy","Following the death of their patriarch Gus, the Portokalos family travels to Greece for a family reunion, and to deliver Gus' journal to his old friends.","English, Greek",30.0,100.0,278.5,2.071428571428571,44.0,6.865405075308562,1.53438040571948,2.0,748.0,897.0,-10.749999999999996,31.0
Me Vuelves Loca,2023-09-07,Comedy,"Carolina has a perfect life: she lives in a luxurious house, works in a fashion magazine and is married to a successful publicist. One day everything goes to waste: she discovers that she is sterile, the same day that her husband leaves her for her best friend, who, in addition, is pregnant with him. After the impact of this news, Carolina has a crisis, drinks too much, trips and falls from the second floor of her house, a fact that is interpreted as a suicide attempt.Carolina is interned against her will, in the exclusive psychiatric center Eden. In that place she will meet a group of ""madmen"" who will help her heal and glimpse that her previous life was not so perfect. He also discovers that perhaps the craziest are those outside the psychiatric hospital.",Spanish,0.0,100.0,0.0,0.0,0.0,0.0,1.4902540114167457,21.0,0.0,843.0,0.0,46.0
Sons of Summer,2023-07-28,"Action, Mystery, Thriller","To mark the anniversary of his father's death, Sean takes his friends on a road trip to his surfer dad's favorite beach. But Sean's drug-dealing friend forces him to do one last favor – steal a heroin shipment from a local mobster.",English,36.0,100.0,58.0,2.571428571428571,35.0,8.782584292113148,1.6673508612144232,4.0,337.0,661.5,-11.107142857142856,39.0
Resident Evil: Death Island,2023-06-22,"Animation, Action, Horror","In San Francisco, Jill Valentine is dealing with a zombie outbreak and a new T-Virus, Leon Kennedy is on the trail of a kidnapped DARPA scientist, and Claire Redfield is investigating a monstrous fish that is killing whales in the bay. Joined by Chris Redfield and Rebecca Chambers, they discover the trail of clues from their separate cases all converge on the same location, Alcatraz Island, where a new evil has taken residence and awaits their arrival.",English,42.0,100.0,344.5,1.071428571428571,43.0,8.631535284093104,0.8097567715461329,15.0,436.0,1120.5,-6.214285714285713,41.0
Murder City,2023-06-29,"Crime, Thriller, Action",A disgraced former cop finds himself working for a ruthless female kingpin to pay off his estranged father’s debt and protect his family.,English,100.0,71.0,1381.0,-0.3928571428571427,70.0,12.545608404913374,0.7402481382363293,-18.0,2520.0,1290.0,-4.321428571428569,61.0
Spirit of Fear,2023-07-31,Horror,"Trying to regain his memory, a man must evade a demonic presence while following the clues left for him to discover his past.",English,49.0,100.0,714.5,0.1785714285714287,72.0,6.25570034832812,1.2053812417990553,1.0,1125.5,1211.5,-5.249999999999999,55.0
PAW Patrol: The Mighty Movie,2023-09-21,"Animation, Family, Comedy, Action, Science Fiction","A magical meteor crash-lands in Adventure City, gives the PAW Patrol pups superpowers, and transforms them into The Mighty Pups. When the PAW Patrol's archrival Humdinger breaks out of jail and teams up with a mad scientist to steal the powers for themselves, the Mighty Pups must save Adventure City and stop the supervillains before it's too late.",English,18.0,100.0,213.0,0.5,16.0,3.5787227101058923,1.6254330762342046,9.0,549.0,877.0,-8.57142857142857,36.0
Creation of the Gods I: Kingdom of Storms,2023-07-20,"Action, Fantasy, War","Based on the most well-known classical fantasy novel of China, Fengshenyanyi, the trilogy is a magnificent eastern high fantasy epic that recreates the prolonged mythical wars between humans, immortals and monsters, which happened more than three thousand years ago.",Mandarin,0.0,100.0,0.0,0.0,0.0,0.0,4.42919779938634,13.0,50.0,177.0,-10.714285714285714,0.0
I Am Rage,2023-09-14,"Action, Thriller, Horror","An ancient cult embroiled in a sinister blood trade makes the deadly mistake of abducting a young woman with a violent, shocking past.",English,67.0,94.0,667.0,-2.6428571428571423,100.0,22.854860997210505,0.10672262734405596,0.0,850.0,850.0,-7.428571428571429,0.0
The White Storm 3: Heaven or Hell,2023-07-06,"Action, Drama, Crime","Hong Kong police agent Cheung (by Aaron Kwok) works undercover in Kang’s (by Sean Lau) drug cartel, while another undercover cop Au (by Louis Koo) successfully earns their trust in an incident, a brotherly-bond is built among the three. After the Police busts the syndicate in Hong Kong, Kang subsequently hides away in the Golden Triangle, by chance he receives a tip-off about the betrayal within his circle of trust…",Cantonese,0.0,100.0,0.0,0.0,0.0,0.0,6.326437348445771,13.0,50.0,100.0,-10.714285714285714,0.0
Mob Land,2023-08-04,"Action, Crime, Thriller","A sheriff tries to keep the peace when a desperate family man violently robs a pill mill with his brother-in-law, alerting an enforcer for the New Orleans mafia.",English,13.0,100.0,47.5,1.4285714285714282,26.0,3.6589281356759136,3.810024322495514,21.0,0.0,311.0,0.0,16.0
The Seven Deadly Sins: Grudge of Edinburgh Part 2,2023-08-08,"Action, Adventure, Fantasy, Animation","Reunited with Lancelot for the first time since their tragic accident, Tristan must learn to conquer his inner demons in order to save his mother's life.",Japanese,0.0,78.0,0.0,0.0,100.0,0.0,3.6827720893575435,0.0,184.0,184.0,-16.285714285714285,56.0
Piglady,2023-08-22,"Horror, Crime","Inspired by true events. Filmed at the murder scene. A group of friends, while on a Christmas vacation to a cabin in Southern Oregon, learn of a rumor of an antisocial woman who allegedly murders people and feeds her victims to pigs.",English,0.0,100.0,0.0,0.0,0.0,0.0,1.8901982112633593,4.0,313.0,614.0,-10.321428571428568,28.0
Scream VI,2023-03-08,"Horror, Crime, Thriller","Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",English,38.0,100.0,207.5,4.607142857142858,59.0,8.618389872298057,1.6447552852706186,3.0,612.5,850.0,-12.42857142857143,32.0
Warhorse One,2023-06-30,"Action, Drama, War",A gunned down Navy SEAL Master Chief must guide a child to safety through a gauntlet of hostile Taliban insurgents and survive the brutal Afghanistan wilderness.,English,5.0,100.0,26.0,-0.28571428571428564,7.0,1.6754868653103983,1.3319300748636054,9.0,532.5,867.0,-9.249999999999998,84.0
Sympathy for the Devil,2023-07-20,"Action, Thriller","After being forced to drive a mysterious passenger at gunpoint, a man finds himself in a high-stakes game of cat and mouse where it becomes clear that not everything is as it seems.",English,10.0,100.0,154.5,-0.24999999999999994,8.0,1.1605769149479943,2.1107458239600403,10.0,449.0,694.0,-7.142857142857143,15.0
"Miraculous: Ladybug & Cat Noir, The Movie",2023-07-05,"Animation, Music, Family, Action, Romance, Fantasy, Comedy","A life of an ordinary Parisian teenager Marinette goes superhuman when she becomes Ladybug. Bestowed with magical powers of creation, Ladybug must unite with her opposite, Cat Noir, to save Paris as a new villain unleashes chaos unto the city.",French,,,,,,,,,,,,
Cobweb,2023-07-19,Horror,"Eight year old Peter is plagued by a mysterious, constant tapping from inside his bedroom wall—one that his parents insist is all in his imagination. As Peter's fear intensifies, he believes that his parents could be hiding a terrible, dangerous secret and questions their trustworthiness.",English,42.0,100.0,388.5,1.0357142857142856,33.0,6.191941218585797,1.3624828749424835,2.0,948.0,1067.5,-9.499999999999996,56.0
Mavka: The Forest Song,2023-03-02,"Animation, Adventure, Family, Fantasy","Mavka — a Soul of the Forest and its Warden — faces an impossible choice between love and her duty as guardian to the Heart of the Forest, when she falls in love with a human — the talented young musician Lukas.",Ukrainian,70.0,100.0,233.5,-1.2857142857142847,58.0,20.219991903122967,0.2417562897414251,10.0,613.5,1357.5,3.4999999999999987,70.0
Jagun Jagun,2023-08-10,"Action, Drama","A young man determined to become a powerful warrior joins an elite army, encountering the wrath of a maniacal warlord and the love of a fierce woman.",Yoruba,5.0,100.0,44.0,0.32142857142857134,55.0,0.9060141709733546,1.263899033139298,3.0,652.5,895.0,-8.928571428571427,51.0
Sasaki and Miyano: Graduation,2023-02-17,"Animation, Romance","Miyano’s world of Boys’ Love manga turns to reality when chance leads him to Sasaki. Now, Sasaki wants to spend every opportunity with him.",Japanese,100.0,0.0,100.0,0.0,0.0,21.295885499997997,6.326437348445772,-4.0,50.0,0.0,-10.714285714285714,0.0
BJJ: Woman on Top,2023-09-29,Romance,"Elise learns the martial art and combat sport Brazilian Jiu Jitsu to learn to defend herself, but she soon realizes that BJJ moves can also be used in passionate lovemaking.",Tagalog,22.0,100.0,11.0,2.3571428571428563,37.0,4.685094809999559,2.165907617299377,2.0,379.0,510.5,-15.499999999999993,31.0
Detective Conan: Black Iron Submarine,2023-04-14,"Animation, Action, Crime, Mystery",The 26th movie entry in the “Detective Conan” franchise.,Japanese,0.0,77.0,0.0,0.0,100.0,0.0,2.9530476928489637,0.0,232.0,232.0,-16.214285714285715,0.0
Goatman,2023-04-17,Horror,A series of grisly murders point to the terrifying cryptid.,English,100.0,82.0,945.0,-0.4642857142857133,57.0,25.75508227590331,-0.6107853364309516,-18.0,2090.0,1206.5,-7.892857142857138,82.0
The Sexologist,2023-01-05,Comedy,"A sexologist (Flavia Dos Santos) dedicates herself to meticulously investigating every detail of the sexual lives of 3 couples and tries to save their marriages without affecting their love lives. This fun and unorthodox methodology will take each of its patients on a journey where the smell, accents, role-playing and other events will force them to leave their comfort zone with the sole purpose of saving their relationships. .",Spanish,,,,,,,,,,,,
The Pope's Exorcist,2023-04-05,"Horror, Thriller","Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.","English, Fulah, Spanish, Latin, German, Italian",22.0,100.0,246.0,1.7857142857142851,30.0,4.5495508238080715,0.648235398934773,10.0,619.0,1267.0,-9.214285714285714,51.0
El Conde,2023-09-08,"Comedy, Horror, Fantasy","After living for over two centuries, Augusto Pinochet is a vampire ready to die… but the vultures around him won't let him go without one last bite.","English, French, Spanish",21.0,100.0,295.5,-0.7499999999999998,21.0,2.7929291997362244,1.9409585806890248,9.0,538.0,879.5,-8.428571428571427,54.0
Knights of the Zodiac,2023-04-27,"Fantasy, Action, Adventure","When a headstrong street orphan, Seiya, in search of his abducted sister unwittingly taps into hidden powers, he discovers he might be the only person alive who can protect a reincarnated goddess, sent to watch over humanity. Can he let his past go and embrace his destiny to become a Knight of the Zodiac?",English,21.0,100.0,219.0,0.8928571428571428,31.0,4.743775011585627,1.0448334828241723,16.0,307.0,1061.5,-14.342857142857143,32.0
The Wonderful Story of Henry Sugar,2023-09-20,"Fantasy, Comedy, Adventure",A rich man learns about a guru who can see without using his eyes. He sets out to master the skill in order to cheat at gambling.,English,10.0,100.0,73.0,-0.14285714285714296,4.0,2.770102775666474,2.145645352278535,8.0,448.5,613.5,-13.500000000000002,81.0
SpongeBob SquarePants Presents The Tidal Zone,2023-01-13,"Animation, Comedy, Adventure",GrandPat travels through alternate dimensions and timelines to get home.,"French, English",,,,,,,,,,,,
Guy Ritchie's The Covenant,2023-04-19,"War, Action, Thriller","During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.","Arabic, English",10.0,100.0,89.0,0.9999999999999998,19.0,2.3819045715047236,1.109661629026439,3.0,765.5,924.0,-8.857142857142854,40.0
Evil Dead Rise,2023-04-12,"Thriller, Horror","A reunion between two estranged sisters gets cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.",English,10.0,100.0,114.0,0.10714285714285711,9.0,2.353171257258255,1.427733728193157,10.0,594.0,858.5,-9.928571428571425,24.0
The Squad: Home Run,2023-08-25,"Action, Drama","Former Antigang legend Niels Cartier, known for his muscular and unconventional methods, left the force following an intervention that went wrong and led to the death of his wife. When the gang of bank robbers responsible for her death reappears eight years later, Niels won't let anyone stand in his way to seek revenge. Even if it means forming an explosive duo with his temperamental 14-year-old daughter.",French,0.0,100.0,0.0,0.0,0.0,0.0,1.9952449059029302,10.0,121.0,544.0,-15.785714285714281,0.0
Mojave Diamonds,2023-08-24,"Action, Crime, Thriller",A former MMA fighter and his brothers must rescue their kidnapped family from a dangerous crime syndicate after $50M of illegal diamonds gets stolen.,English,0.0,100.0,0.0,0.0,0.0,0.0,4.307591572688268,18.0,50.0,198.0,-30.000000000000004,0.0
Justice League: Warworld,2023-07-25,"Animation, Action, Science Fiction, Adventure","Until now, the Justice League has been a loose association of superpowered individuals. But when they are swept away to Warworld, a place of unending brutal gladiatorial combat, Batman, Superman, Wonder Woman and the others must somehow unite to form an unbeatable resistance able to lead an entire planet to freedom.",English,64.0,100.0,361.5,6.392857142857142,94.0,18.20754621658352,1.1764656277652015,1.0,713.0,810.0,-8.14285714285714,36.0
The Mistress,2023-07-28,"Horror, Thriller","Newlyweds Parker and Madeline move into their dream home. As they settle in, they discover a box of old love letters written to the original owner. And as the couple digs into the increasingly obsessive correspondence, a mysterious woman arrives with a horrifying secret that threatens their lives.",English,67.0,100.0,1069.0,-2.178571428571428,54.0,7.261241187480722,1.8144579777691696,19.0,174.0,1256.0,-8.999999999999996,61.0
Sorcery,2023-01-21,"Horror, Mystery, Adventure","Chiloé Island, 1880. Rosa Raín is a Huilliche girl who, after the murder of her father at the hands of German settlers, seeks justice with Mateo, leader of an organization of sorcerers called “La Recta Provincia”.",Spanish,94.0,100.0,1404.5,-3.5714285714285703,88.0,9.935392198629582,0.6955745515456889,1.0,1320.0,1414.0,-1.892857142857143,81.0
The Boogeyman,2023-05-31,"Horror, Thriller, Mystery","Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it’s too late.",English,18.0,100.0,139.5,1.607142857142857,24.0,4.234616014364898,1.49300240105689,3.0,703.0,887.0,-10.499999999999996,38.0
Soulcatcher,2023-08-02,"Action, Adventure, Thriller",A military contractor hired to seize a weapon that turns people into savage killers seeks revenge when his brother falls victim to the device.,Polish,4.0,100.0,7.0,0.7142857142857142,51.0,1.0942024088643865,2.0300956750854353,4.0,309.5,625.0,-12.178571428571422,30.0
Extraction 2,2023-06-09,"Action, Thriller","Tasked with extracting a family who is at the mercy of a Georgian gangster, Tyler Rake infiltrates one of the world's deadliest prisons in order to save them. But when the extraction gets hot, and the gangster dies in the heat of battle, his equally ruthless brother tracks down Rake and his team to Vienna, in order to get revenge.","English, Bengali, French, German, Georgian",6.0,100.0,56.5,0.24999999999999992,4.0,1.2453996981544782,2.2590364750801766,8.0,435.5,625.5,-12.071428571428566,87.0
Jeanne du Barry,2023-05-16,"Drama, History, Romance","The life of Jeanne Bécu, who was born as the illegitimate daughter of an impoverished seamstress in 1743 and went on to rise through the Court of Louis XV to become his last official mistress.",French,11.0,100.0,78.5,1.0,55.0,2.836432878444844,2.682634979315829,1.0,405.0,482.5,-13.142857142857137,15.0
The Tutor,2023-03-24,"Mystery, Thriller, Action","When a professional tutor takes a job at a remote manor, he soon finds himself battling his disturbed student’s obsessions, which threaten to expose his darkest secrets and unravel his carefully crafted persona.",English,68.0,100.0,1048.5,2.499999999999999,86.0,6.956619712412721,1.5982479701302823,21.0,0.0,1063.0,0.0,46.0
